point_index,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,requested_velocity_percent,requested_acceleration_percent
274,-113.647517824,74.8374888961,200.061,-179.945,-0.097,168.181557606,100,80
275,-113.21563706,75.3193781499,200.061,-179.945,-0.097,169.141756217,100,80
276,-112.792070604,75.806056587,200.061,-179.945,-0.097,170.101954829,100,80
277,-112.376857627,76.2973815525,200.061,-179.945,-0.097,171.062153441,100,80
278,-111.970034864,76.7932104244,200.061,-179.945,-0.097,172.022352052,100,80
279,-111.571636629,77.2934006548,200.061,-179.945,-0.097,172.982550664,100,80
280,-111.181694825,77.7978098113,200.061,-179.945,-0.097,173.942749276,100,80
281,-111.911681463,78.0553162716,200.061,-179.945,-0.097,174.429984254,100,80
282,-112.42120378,78.5215452077,200.061,-179.945,-0.097,175.329463282,100,80
283,-112.603575214,78.8267445095,200.061,-179.945,-0.097,175.920003108,100,80
284,-112.789105522,79.1249130212,200.061,-179.945,-0.097,176.510542935,100,80
285,-112.944753068,79.4588081489,200.061,-179.945,-0.097,177.164361602,100,80
286,-113.104229143,79.7852194046,200.061,-179.945,-0.097,177.81818027,100,80
287,-113.273040209,80.1100739184,200.061,-179.945,-0.097,178.461371455,100,80
288,-113.445514917,80.4274167568,200.061,-179.945,-0.097,179.10456264,100,80
289,-113.656721213,80.713304913,200.061,-179.945,-0.097,179.677849007,100,80
290,-113.870798983,80.9920742777,200.061,-179.945,-0.097,180.251135373,100,80
291,-114.414959334,81.4402376376,200.061,-179.945,-0.097,181.177336257,100,80
292,-115.093766085,81.753172419,200.061,-179.945,-0.097,181.839063396,100,80
293,-115.90891976,81.9294829898,200.061,-179.945,-0.097,182.223077941,100,80
294,-116.851375704,81.9819838714,200.061,-179.945,-0.097,182.342436589,100,80
295,-117.902378439,81.9350837173,200.061,-179.945,-0.097,182.234487114,100,80
296,-119.033544661,81.8218245398,200.061,-179.945,-0.097,181.959313085,100,80
297,-120.208299975,81.679300608,200.061,-179.945,-0.097,181.594672513,100,80
298,-121.38656236,81.5422505982,200.061,-179.945,-0.097,181.224566792,100,80
299,-122.532642781,81.4363601848,200.061,-179.945,-0.097,180.922393007,100,80
300,-123.623759247,81.373792871,200.061,-179.945,-0.097,180.734088726,100,80
301,-124.655168871,81.3528073044,200.061,-179.945,-0.097,180.668615875,100,80
302,-125.639112629,81.3614884889,200.061,-179.945,-0.097,180.700616205,100,80
303,-126.597988273,81.3838521946,200.061,-179.945,-0.097,180.784232995,100,80
304,-127.555170353,81.4057845832,200.061,-179.945,-0.097,180.871584499,100,80
305,-128.527655929,81.4186940314,200.061,-179.945,-0.097,180.927733775,100,80
306,-129.523038421,81.4200958938,200.061,-179.945,-0.097,180.936994895,100,80
307,-130.540694598,81.4118696293,200.061,-179.945,-0.097,180.900594358,100,80
308,-131.575246059,81.3977384317,200.061,-179.945,-0.097,180.829572433,100,80
309,-132.620077285,81.3812952718,200.061,-179.945,-0.097,180.737523224,100,80
310,-133.669567759,81.3650832588,200.061,-179.945,-0.097,180.635986978,100,80
311,-134.719827837,81.350527969,200.061,-179.945,-0.097,180.532937071,100,80
312,-135.768435511,81.3382602977,200.061,-179.945,-0.097,180.433327149,100,80
313,-136.813807793,81.3284667831,200.061,-179.945,-0.097,180.34038671,100,80
314,-137.854642233,81.3211096916,200.061,-179.945,-0.097,180.25676924,100,80
315,-138.88961563,81.3160092623,200.061,-179.945,-0.097,180.185171015,100,80
316,-139.917362465,81.3128449917,200.061,-179.945,-0.097,180.128376304,100,80
317,-140.936669426,81.3111422109,200.061,-179.945,-0.097,180.088860072,100,80
318,-141.946771995,81.3102928895,200.061,-179.945,-0.097,180.068181422,100,80
319,-142.947613512,81.3096284476,200.061,-179.945,-0.097,180.066453119,100,80
320,-143.939944536,81.3085276414,200.061,-179.945,-0.097,180.082137232,100,80
321,-144.925209267,81.3065194868,200.061,-179.945,-0.097,180.112276541,100,80
